lat,long
6.597139,99.95761
6.70775,100.3216
6.7539169999999995,100.1492
6.7583333333,100.37
6.7672222222,100.5125
6.7683333333,100.5125
6.795111,99.96152
6.8158333333000005,100.554166667
6.816111111100001,100.323611111
6.8236111111,100.44
6.8338888889,100.554166667
6.8572222222,100.53472222200001
6.857528,100.1131
6.8666666667,100.329722222
6.868028,99.79105
6.8730555556,100.39861111100001
6.885833333300001,100.460555556
6.895833333300001,100.49388888899999
6.8963888889,100.259444444
6.896944444400001,100.37583333299999
6.9191666667,100.555
6.946705000000001,100.41117
6.9580555556,100.556666667
6.964444444400001,100.304444444
6.993333,99.92225
7.0,100.523333333
7.0122222222,100.296111111
7.0247222222,100.579722222
7.0449720000000005,100.3926
7.05175,100.4502
7.07975,100.1883
7.090639,99.76847
7.126278,100.5533
7.141083,100.2911
7.238417,99.57686
7.245833,100.1098
7.2741940000000005,100.515
7.285139,100.2539
7.30175,100.1691
7.3115,100.0399
7.318722,99.67358
7.3318330000000005,100.4306
7.334861,100.1014
7.379361,100.2047
7.4295279999999995,100.1741
7.438639,99.92883
7.445917,99.57916999999999
7.458194000000001,100.1298
7.472278,99.68831
7.48375,100.2067
7.517639,100.4255
7.555833,99.70758000000001
7.567222,99.90031
7.578917,99.34058
7.5792779999999995,100.2846
7.593194,100.0765
7.595611,99.54916
7.598555999999999,100.4022
7.6049169999999995,99.98653
7.652139,99.8718
7.686306,99.50755
7.70975,99.83639000000001
7.728611,99.09106
7.741833,100.0462
7.778944,100.3656
7.796945,100.0234
7.803222,99.61433000000001
7.8165830000000005,99.9483
7.839861,98.29505999999999
7.90925,100.3166
7.9435,98.29114
7.944972,99.15241999999999
7.975722,99.633
7.990861,99.57441999999999
8.005527,99.01311
8.012584,98.3988
8.041528,99.65005
8.050138,99.97933
8.054222,100.2154
8.062111,99.27419
8.074195,99.88741
8.102389,100.0936
8.139694,100.2462
8.164916999999999,99.86855
8.165361,98.79661
8.179973,100.0639
8.182333,98.43589
8.222028,100.2465
8.263611000000001,99.04808
8.269834,99.54753000000001
8.273222,100.1559
8.297667,99.9455
8.304778,99.45983000000001
8.383944999999999,98.71531
8.38825,100.2318
8.394639,98.44896999999999
8.395861,99.81486
8.397583000000001,98.24981
8.419333,99.59855999999999
8.42675,99.5034
8.449667,98.84167
8.462639999999999,99.0764
8.467083,99.41708
8.503139,98.63006
8.520083,99.33205
8.521194,98.51628000000001
8.52775,99.82375
8.57197,99.2557
8.585389,99.53825
8.595139,98.66622
8.630560000000001,99.3431
8.674555999999999,99.86764000000001
8.698694,99.22855
8.720528,99.74986
8.724722,98.38325
8.750584,98.80292
8.762055,99.91535999999999
8.769861,99.30478000000001
8.794777999999999,99.63342
8.79994,99.36399999999999
8.823,99.41286
8.866083,99.147
8.867861,98.336
8.920889,99.39905999999999
8.925305,99.83195
8.9275,99.24239
8.956195,98.87786
8.998667,99.87603
9.009778,99.26581
9.031080000000001,98.9641
9.032583,99.61997
9.0375,99.13414
9.056611,99.02547
9.080888999999999,99.16339
9.083,99.52799999999999
9.11733,99.2254
9.1465,99.64458
9.148361,98.96503
9.157222,99.42819
9.1765,98.41433
9.192611,99.14967
9.20825,99.80753
9.232611,99.62539
9.427166999999999,99.20747
9.431694,98.46696999999999
9.570528,99.16648
9.582167,98.60194
9.5925,99.11994
9.764584,99.08614
9.785861,98.77797
9.910583,98.92314
9.951834,99.08114
10.00692,99.15453000000001
10.11331,98.75403
10.13686,99.07361
10.20767,98.93436
10.2525,99.09344
10.343689999999999,98.77495
10.50394,98.98564
10.52747,98.90281
10.59956,99.16171999999999
10.602889999999999,99.05911
10.67153,99.18103
10.70425,99.3203
10.77692,99.37183
10.86775,99.35022
10.87153,99.23631
10.982330000000001,99.33736
11.02769,99.41578
11.07819,99.3762
11.08981,99.45758000000001
11.202810000000001,99.56203000000001
11.24992,99.51006
11.350439999999999,99.56631
11.43136,99.55527
11.4998,99.6223
11.60569,99.6665
12.007810000000001,99.84419
12.069939999999999,99.86728000000001
12.10328,102.3521
12.14028,99.93478
12.188360000000001,102.3899
12.25503,102.5583
12.28525,99.87589
12.30061,99.95903
12.36992,99.98711
12.37014,102.4464
12.44519,102.6301
12.4601,99.8649
12.52939,99.54381
12.53208,102.0101
12.56292,102.2894
12.58394,102.5194
12.59189,99.83878
